Country,Jurisdiction type,Virus,Vector status,Vector source IDs,Transmission category,Transmission basis,Transmission evidence category,Transmission source IDs,Vaccine-access category,Regulatory approval status,Market availability,Public programme status,Programme scope,Eligibility/restrictions,Coverage,Vaccine-access basis,Vaccine evidence category,Vaccine source IDs,Assessment cutoff,Evidence confidence,Source-linkage status,Evidence notes
Afghanistan,Sovereign state,DENV,Present,S049; S050,Endemic / established transmission,Assigned using predefined criteria for recurrent or sustained local transmission and the hierarchical evidence framework described in the Supplementary Methods.,Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S013; S027; S045; S060,Not licensed / not available,No country-specific regulatory approval or marketed availability was identified in the reviewed source set.,Not available / not identified,None identified,None,Not documented in the reviewed source set.,Not assessed,"No regulatory approval, marketed availability, or public programme introduction was identified in the reviewed source set by the assessment cutoff; this denotes 'not identified' rather than proof of absolute absence.",Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S061; S062; S071; S085,2026-05-06,Moderate,Framework-linked; country-specific vaccine source not recorded,"Transmission sources: S013, S027, S045, S060 (no separate country-specific source identified). Vaccine-access sources: S061, S062, S071, S085 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Afghanistan,Sovereign state,CHIKV,Present,S049; S050,Imported / travel-related cases only,Assigned where reviewed evidence indicated imported or travel-associated cases without evidence meeting the study criteria for sustained local transmission.,Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S012; S025; S043; S064,Not licensed / not available,No country-specific regulatory approval or marketed availability was identified in the reviewed source set.,Not available / not identified,None identified,None,Not documented in the reviewed source set.,Not assessed,"No regulatory approval, marketed availability, or public programme introduction was identified in the reviewed source set by the assessment cutoff; this denotes 'not identified' rather than proof of absolute absence.",Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S031; S086; S087; S088,2026-05-06,Moderate,Framework-linked; country-specific vaccine source not recorded,"Transmission sources: S012, S025, S043, S064 (no separate country-specific source identified). Vaccine-access sources: S031, S086, S087, S088 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Afghanistan,Sovereign state,YFV,Present,S049; S050,Imported / travel-related cases only,Assigned where reviewed evidence indicated imported or travel-associated cases without evidence meeting the study criteria for sustained local transmission.,Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S059; S099,Traveler access only (limited availability),Domestic licensure was not established in the reviewed source set.,Limited traveller access reported,Traveller/risk-based access only,Traveller/risk-based,Not documented in the reviewed source set.,Not assessed,Classified as limited or risk-based access where vaccination was documented primarily for travellers or defined risk groups rather than routine population-wide delivery.,Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S096; S097; S099,2026-05-06,Moderate,Framework-linked; traveller-access detail not directly linked,"Transmission sources: S059, S099 (no separate country-specific source identified). Vaccine-access sources: S096, S097, S099 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Afghanistan,Sovereign state,JEV,Limited / uncertain,S051,Imported / travel-related cases only,Assigned where reviewed evidence indicated imported or travel-associated cases without evidence meeting the study criteria for sustained local transmission.,Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S019; S067,Traveler access only (limited availability),Domestic licensure was not established in the reviewed source set.,Limited traveller access reported,Traveller/risk-based access only,Traveller/risk-based,Not documented in the reviewed source set.,Not assessed,Classified as limited or risk-based access where vaccination was documented primarily for travellers or defined risk groups rather than routine population-wide delivery.,Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S070; S098,2026-05-06,Low,Framework-linked; unresolved ecological uncertainty,"Transmission sources: S019, S067 (no separate country-specific source identified). Vaccine-access sources: S070, S098 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Albania,Sovereign state,DENV,Limited / sporadic,S049; S050; S023; S024,Imported / travel-related cases only,Assigned where reviewed evidence indicated imported or travel-associated cases without evidence meeting the study criteria for sustained local transmission.,Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S013; S027; S045; S060,Not licensed / not available,No country-specific regulatory approval or marketed availability was identified in the reviewed source set.,Not available / not identified,None identified,None,Not documented in the reviewed source set.,Not assessed,"No regulatory approval, marketed availability, or public programme introduction was identified in the reviewed source set by the assessment cutoff; this denotes 'not identified' rather than proof of absolute absence.",Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S061; S062; S071; S085,2026-05-06,Moderate,Framework-linked; country-specific vaccine source not recorded,"Transmission sources: S013, S027, S045, S060 (no separate country-specific source identified). Vaccine-access sources: S061, S062, S071, S085 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Albania,Sovereign state,CHIKV,Limited / sporadic,S049; S050; S023; S024,Imported / travel-related cases only,Assigned where reviewed evidence indicated imported or travel-associated cases without evidence meeting the study criteria for sustained local transmission.,Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S012; S025; S043; S064,Not licensed / not available,No country-specific regulatory approval or marketed availability was identified in the reviewed source set.,Not available / not identified,None identified,None,Not documented in the reviewed source set.,Not assessed,"No regulatory approval, marketed availability, or public programme introduction was identified in the reviewed source set by the assessment cutoff; this denotes 'not identified' rather than proof of absolute absence.",Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S031; S086; S087; S088,2026-05-06,Moderate,Framework-linked; country-specific vaccine source not recorded,"Transmission sources: S012, S025, S043, S064 (no separate country-specific source identified). Vaccine-access sources: S031, S086, S087, S088 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Albania,Sovereign state,YFV,Limited / sporadic,S049; S050; S023; S024,Imported / travel-related cases only,Assigned where reviewed evidence indicated imported or travel-associated cases without evidence meeting the study criteria for sustained local transmission.,Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S059; S099,Traveler access only (limited availability),Domestic licensure was not established in the reviewed source set.,Limited traveller access reported,Traveller/risk-based access only,Traveller/risk-based,Not documented in the reviewed source set.,Not assessed,Classified as limited or risk-based access where vaccination was documented primarily for travellers or defined risk groups rather than routine population-wide delivery.,Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S096; S097; S099,2026-05-06,Moderate,Framework-linked; traveller-access detail not directly linked,"Transmission sources: S059, S099 (no separate country-specific source identified). Vaccine-access sources: S096, S097, S099 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Albania,Sovereign state,JEV,Absent,S051,Imported / travel-related cases only,Assigned where reviewed evidence indicated imported or travel-associated cases without evidence meeting the study criteria for sustained local transmission.,Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S019; S067,Traveler access only (limited availability),Domestic licensure was not established in the reviewed source set.,Limited traveller access reported,Traveller/risk-based access only,Traveller/risk-based,Not documented in the reviewed source set.,Not assessed,Classified as limited or risk-based access where vaccination was documented primarily for travellers or defined risk groups rather than routine population-wide delivery.,Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S070; S098,2026-05-06,Moderate,Framework-linked; traveller-access detail not directly linked,"Transmission sources: S019, S067 (no separate country-specific source identified). Vaccine-access sources: S070, S098 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Algeria,Sovereign state,DENV,Limited / sporadic,S049; S050,Imported / travel-related cases only,Assigned where reviewed evidence indicated imported or travel-associated cases without evidence meeting the study criteria for sustained local transmission.,Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S013; S027; S045; S060,Not licensed / not available,No country-specific regulatory approval or marketed availability was identified in the reviewed source set.,Not available / not identified,None identified,None,Not documented in the reviewed source set.,Not assessed,"No regulatory approval, marketed availability, or public programme introduction was identified in the reviewed source set by the assessment cutoff; this denotes 'not identified' rather than proof of absolute absence.",Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S061; S062; S071; S085,2026-05-06,Moderate,Framework-linked; country-specific vaccine source not recorded,"Transmission sources: S013, S027, S045, S060 (no separate country-specific source identified). Vaccine-access sources: S061, S062, S071, S085 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
Algeria,Sovereign state,CHIKV,Limited / sporadic,S049; S050,Imported / travel-related cases only,Assigned where reviewed evidence indicated imported or travel-associated cases without evidence meeting the study criteria for sustained local transmission.,Global/regional surveillance backbone plus country-specific public-health or peer-reviewed evidence where available; source IDs are listed in column I.,S012; S025; S043; S064,Not licensed / not available,No country-specific regulatory approval or marketed availability was identified in the reviewed source set.,Not available / not identified,None identified,None,Not documented in the reviewed source set.,Not assessed,"No regulatory approval, marketed availability, or public programme introduction was identified in the reviewed source set by the assessment cutoff; this denotes 'not identified' rather than proof of absolute absence.",Global vaccine-policy and product-regulatory framework plus country-specific regulator or public-health evidence where available; source IDs are listed in column S.,S031; S086; S087; S088,2026-05-06,Moderate,Framework-linked; country-specific vaccine source not recorded,"Transmission sources: S012, S025, S043, S064 (no separate country-specific source identified). Vaccine-access sources: S031, S086, S087, S088 (no separate country-specific source identified). Full citations and URLs are provided in Source_Inventory."
