Domain,Category/variable,Operational definition,Application note
Study design,Analytical unit,One sovereign state assessed separately for each virus.,Primary dataset contains 195 × 4 = 780 records.
Transmission,Endemic / established transmission,"Recurrent locally acquired transmission across multiple transmission seasons, or explicit current designation as endemic/established by an authoritative public-health source.",Historical evidence alone is insufficient unless current evidence supports persistence.
Transmission,Sporadic outbreaks / introduced,"One or more temporally bounded outbreaks with locally acquired infections, without evidence meeting the established-transmission criterion.",Outbreak duration and recurrence should be documented where available.
Transmission,Autochthonous transmission in a non-endemic setting,"Isolated or limited locally acquired transmission outside a recognised endemic setting, without evidence of sustained establishment or a qualifying outbreak.",Designed to separate isolated local transmission from outbreaks.
Transmission,Imported / travel-related only,Imported infections documented without qualifying evidence of locally acquired transmission.,Absence of reported local transmission is not proof of biological impossibility.
Transmission,Uncertain/conflicting,Available evidence is insufficient or materially inconsistent.,Recommended for future verified version; not present in original categorical dataset.
Vaccine access,Regulatory approval,Formal national authorisation of at least one vaccine relevant to the virus and population.,Must be separated from availability and programme introduction.
Vaccine access,Market availability,Evidence that vaccine can be obtained in-country through private or routine healthcare channels.,Approval does not automatically establish current supply.
Vaccine access,Public programme introduction,Inclusion in a publicly organised national or subnational vaccination programme.,Record programme geography and target group separately.
Vaccine access,Traveller-only access,Access limited to travellers or designated risk groups rather than population-level disease control.,Should not be counted as routine population deployment.
Coverage,Vaccination coverage,Uptake among an eligible target population in a specified year.,Not assessed in this dataset and must not be inferred from licensure or programme status.
Weighting,Country-level proportion,Each sovereign state contributes one observation within each virus-specific analysis.,Does not estimate population-level protection or burden-weighted access.
Vector,Aedes presence,"Categorical evidence of Aedes aegypti and/or Aedes albopictus presence, limited/sporadic occurrence, absence, or uncertainty.",Indicates ecological compatibility only; does not establish virus circulation or quantify abundance.
Vector,Culex presence,"Categorical evidence relating to the Culex tritaeniorhynchus complex, integrating documented occurrence and habitat-suitability modelling.",Modelled suitability is not equivalent to confirmed entomological detection.
Vector,Source linkage,Source IDs identify the global or regional evidence used to support vector classification. Country-specific occurrence citations are not available for every jurisdiction.,Interpret row-level vector status as a harmonised evidence category rather than a direct surveillance measurement.
