Country,Aedes_presence (Ae. aegypti / albopictus),DENV_circulation,DENV_vaccine_access,CHIKV_circulation,CHIKV_vaccine_access,YFV_circulation,YFV_vaccine_access,Culex_presence (Culex tritaeniorhynchus complex),JEV_circulation,JEV_vaccine_access
Afghanistan,Present,Endemic / established transmission,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Limited / uncertain,Imported / travel-related cases only,Traveler access only (limited availability)
Albania,Limited / sporadic,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Algeria,Limited / sporadic,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Andorra,Absent,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Angola,Present,Sporadic outbreaks / introduced,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Antigua and Barbuda,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Argentina,Present,Endemic / established transmission,Licensed & available (private/market),Sporadic outbreaks / introduced,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Armenia,Limited / sporadic,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Limited / uncertain,Imported / travel-related cases only,Traveler access only (limited availability)
Australia,Present,Autochthonous transmission documented (non-endemic),Licensed & available (private/market),Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Present,Endemic / established transmission,Licensed & available (private/market)
Austria,Present,Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Azerbaijan,Limited / sporadic,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Limited / uncertain,Imported / travel-related cases only,Traveler access only (limited availability)
Bahamas,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
