ID,Source title,Evidence type,Role in dataset,URL,Accessed
S001,Australian Government chikungunya information page,Curated source,Australia CHIKV imported-only context,https://www.health.gov.au/diseases/chikungunya-virus-infection,2026-03-19
S002,Australian Government dengue information page,Curated source,Australia DENV local-outbreak context,https://www.health.gov.au/diseases/dengue-virus-infection,2026-03-19
S003,Australian Government Department of Health,Curated source,Australia: Current JEV risk and vaccine guidance,https://www.health.gov.au/diseases/japanese-encephalitis,2026-03-19
S004,Australian Immunisation Handbook,Curated source,Australia: National JE vaccine guidance,https://immunisationhandbook.health.gov.au/contents/vaccine-preventable-diseases/japanese-encephalitis,2026-03-19
S005,Communicable Diseases Intelligence article on Japanese encephalitis in Australia,Curated source,Australia JEV circulation/supporting context,https://www1.health.gov.au/internet/main/publishing.nsf/Content/A005BA6FD1F9ACD4CA258BFC0001FE0A/%24File/cdi-2025-49-005.pdf,2026-03-19
S006,Communicable Diseases Intelligence report on dengue in Australia,Curated source,Australia DENV local transmission context,https://www1.health.gov.au/internet/main/publishing.nsf/Content/CA1DBF11D71F5F3ECA258ADE0019B036/%24File/cdi-2024-48-63.docx,2026-03-19
S007,Queensland Health dengue outbreaks guidance,Curated source,Australia DENV local-outbreak context,https://www.health.qld.gov.au/clinical-practice/guidelines-procedures/diseases-infection/diseases/mosquito-borne/dengue/dengue-outbreaks,2026-03-19
S008,ANVISA registration note: Qdenga,Curated source,Brazil DENV vaccine regulatory approval,https://www.gov.br/anvisa/pt-br/assuntos/medicamentos/novos-medicamentos-e-indicacoes/qdenga-vacina-dengue-1-2-3-e-4-atenuada-novo-registro,2026-03-19
S009,ANVISA technical note,Curated source,Brazil: Recent YF surveillance/ports-airports-frontiers context,https://www.gov.br/anvisa/pt-br/assuntos/paf/vigilancia-epidemiologica/alertas-epidemiologicos/vigentes/nota-tecnica-3-2026-febre-amarela,2026-03-19
S010,Brazil federal government note referencing dengue vaccine manufacturing/access,Curated source,Brazil public-program / access context,https://www.gov.br/planalto/en/latest-news/2024/05/in-bilateral-forum-with-alckmin-japanese-prime-minister-and-business-leaders-highlight-brazils-economic-potential,2026-03-19
S011,Brazil Ministry of Health technical note,Curated source,Brazil: Recent YF epidemiology/vaccination context,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/estudos-e-notas-informativas/2024/nota-informativa-no-35-2024.pdf,2026-03-19
S012,CDC chikungunya data and maps,Curated source; Surveillance,Primary traveler-risk/global backbone | CHIKV circulation/travel-risk backbone,https://www.cdc.gov/chikungunya/data-maps/index.html,2026-05-06
