Virus,Transmission category,Total countries,No licensed/available vaccine,Percent without,Private/market,Routine public programme,Traveller-only,,Evidence confidence,Records
DENV,Endemic / established transmission,76,59,0.7763157894736842,16,1,0,,High,23
DENV,Sporadic outbreaks / introduced,26,25,0.9615384615384616,1,0,0,,Moderate,731
DENV,Autochthonous transmission documented (non-endemic),8,1,0.125,7,0,0,,Low,26
DENV,Imported / travel-related cases only,85,58,0.6823529411764706,27,0,0,,Total,780
CHIKV,Endemic / established transmission,12,11,0.9166666666666666,1,0,0,,,
CHIKV,Sporadic outbreaks / introduced,75,75,1,0,0,0,,,
CHIKV,Autochthonous transmission documented (non-endemic),4,0,0,4,0,0,,,
CHIKV,Imported / travel-related cases only,104,74,0.7115384615384616,30,0,0,,,
YFV,Endemic / established transmission,41,0,0,0,41,0,,,
YFV,Imported / travel-related cases only,154,0,0,0,0,154,,,
JEV,Endemic / established transmission,23,0,0,23,0,0,,,
JEV,Imported / travel-related cases only,172,0,0,0,0,172,,,
